date,country,cumulative_total_cases,daily_new_cases,active_cases,cumulative_total_deaths,daily_new_deaths
9/3/2021,USA,41071107,193574,4623925,676766,2047
9/4/2021,USA,41226367,155260,4678957,678420,1654
9/5/2021,USA,41360703,134336,4732714,679775,1355
9/6/2021,USA,41486474,125771,4737579,681026,1251
9/7/2021,USA,41604215,117741,4752322,682597,1571
9/8/2021,USA,41766592,162377,4759998,684759,2162
9/9/2021,USA,41941156,174564,4823411,687356,2597
9/10/2021,USA,42121367,180211,4884882,689668,2312
9/11/2021,USA,42286416,165049,4940686,691533,1865
9/12/2021,USA,42421365,134949,4981583,692903,1370
9/13/2021,USA,42534186,112821,4947858,694283,1380
9/14/2021,USA,42688333,154147,4955090,696657,2374
9/15/2021,USA,42858092,169759,4981679,699391,2734
9/16/2021,USA,43020575,162483,5025546,701748,2357
9/17/2021,USA,43185892,165317,5053499,704145,2397
9/18/2021,USA,43318266,132374,5064444,706098,1953
9/19/2021,USA,43417995,99729,5057035,707507,1409
9/20/2021,USA,43515343,97348,4974721,708930,1423
9/21/2021,USA,43649451,134108,4952586,711343,2413
9/22/2021,USA,43786650,137199,4939377,713965,2622
9/23/2021,USA,43922908,136258,4937119,716491,2526
9/24/2021,USA,44059910,137002,4933771,718849,2358
9/25/2021,USA,44171120,111210,4917994,720683,1834
9/26/2021,USA,44258862,87742,4876868,721995,1312
9/27/2021,USA,44345867,87005,4793537,723288,1293
9/28/2021,USA,44458686,112819,4744666,725474,2186
9/29/2021,USA,44585223,126537,4709013,727973,2499
9/30/2021,USA,44711102,125879,4693876,730248,2275
10/1/2021,USA,44835388,124286,4667552,732401,2153
10/2/2021,USA,44935711,100323,4585198,734048,1647
10/3/2021,USA,45009648,73937,4538216,735223,1175
10/4/2021,USA,45085674,76026,4429973,736351,1128
10/5/2021,USA,45190789,105115,4371722,738468,2117
10/6/2021,USA,45301420,110631,4334104,740806,2338
10/7/2021,USA,45414822,113402,4308365,742869,2063
10/8/2021,USA,45524733,109911,4258279,745034,2165
10/9/2021,USA,45609057,84324,4206640,746510,1476
10/10/2021,USA,45679143,70086,4158443,747540,1030
10/11/2021,USA,45743187,64044,4061172,748486,946
10/12/2021,USA,45835373,92186,3971641,750161,1675
10/13/2021,USA,45936641,101268,3913556,752153,1992
10/14/2021,USA,46035813,99172,3871649,754110,1957
10/15/2021,USA,46131847,96034,3823213,756015,1905
10/16/2021,USA,46206167,74320,3778803,757308,1293
10/17/2021,USA,46261771,55604,3722852,758257,949
10/18/2021,USA,46321652,59881,3622435,759296,1039
10/19/2021,USA,46401601,79949,3535432,761025,1729
10/20/2021,USA,46484937,83336,3476542,762969,1944
10/21/2021,USA,46573035,88098,3441465,764673,1704
10/22/2021,USA,46658704,85669,3380677,766408,1735
10/23/2021,USA,46727378,68674,3331243,767636,1228
10/24/2021,USA,46777149,49771,3275232,768455,819
10/25/2021,USA,46833658,56509,3169663,769384,929
10/26/2021,USA,46913336,79678,3118655,771056,1672
10/27/2021,USA,46994237,80901,3063100,772767,1711
10/28/2021,USA,47081775,87538,3036047,774315,1548
10/29/2021,USA,47167017,85242,2996770,775987,1672
10/30/2021,USA,47234334,67317,2963492,776946,959
10/31/2021,USA,47286151,51817,2925363,777663,717
11/1/2021,USA,47348398,62247,2856019,778514,851
11/2/2021,USA,47425596,77198,2785259,779877,1363
11/3/2021,USA,47504957,79361,2742911,781486,1609
11/4/2021,USA,47596444,91487,2728483,782871,1385
11/5/2021,USA,47684837,88393,2706649,784282,1411
11/6/2021,USA,47755908,71071,2689715,785233,951
11/7/2021,USA,47814284,58376,2665521,785873,640
11/8/2021,USA,47874319,60035,2592637,786707,834
11/9/2021,USA,47958428,84109,2575359,788211,1504
11/10/2021,USA,48054334,95906,2556436,789797,1586
11/11/2021,USA,48151580,97246,2567321,790964,1167
11/12/2021,USA,48250512,98932,2558313,792101,1137
11/13/2021,USA,48331911,81399,2562063,792925,824
11/14/2021,USA,48397469,65558,2561530,793502,577
11/15/2021,USA,48471201,73732,2535008,794204,702
11/16/2021,USA,48571847,100646,2538347,795621,1417
11/17/2021,USA,48679068,107221,2532780,797092,1471
11/18/2021,USA,48794774,115706,2564076,798495,1403
11/19/2021,USA,48908905,114131,2584404,799755,1260
11/20/2021,USA,48999752,90847,2601297,800629,874
11/21/2021,USA,49065890,66138,2609869,801191,562
11/22/2021,USA,49143930,78040,2576896,801930,739
11/23/2021,USA,49252714,108784,2595180,803387,1457
11/24/2021,USA,49359350,106636,2611938,804954,1567
11/25/2021,USA,49445183,85833,2614690,805816,862
11/26/2021,USA,49517694,72511,2595554,806609,793
11/27/2021,USA,49579996,62302,2575101,807219,610
11/28/2021,USA,49639955,59959,2560022,807812,593
11/29/2021,USA,49720389,80434,2550044,808534,722
11/30/2021,USA,49843602,123213,2562240,810088,1554
12/1/2021,USA,49977974,134372,2595958,811693,1605
12/2/2021,USA,50128554,150580,2657283,813191,1498
12/3/2021,USA,50279284,150730,2711049,814484,1293
12/4/2021,USA,50398519,119235,2757456,815405,921
12/5/2021,USA,50485505,86986,2783943,816033,628
12/6/2021,USA,50583161,97656,2781580,816911,878
12/7/2021,USA,50710301,127140,2823658,818741,1830
12/8/2021,USA,50841540,131239,2853938,820302,1561
12/9/2021,USA,50979603,138063,2901404,821779,1477
12/10/2021,USA,51122459,142856,2942993,823388,1609
12/11/2021,USA,51240774,118315,2978703,824390,1002
12/12/2021,USA,51332419,91645,3004664,825172,782
12/13/2021,USA,51434104,101685,2928008,826080,908
12/14/2021,USA,51560687,126583,2939936,827849,1769
12/15/2021,USA,51704404,143717,2977149,829590,1741
12/16/2021,USA,51867050,162646,3039761,831043,1453
12/17/2021,USA,52040432,173382,3109343,832811,1768
12/18/2021,USA,52198867,158435,3174550,833895,1084
12/19/2021,USA,52335372,136505,3237268,834673,778
12/20/2021,USA,52494191,158819,3274938,835656,983
12/21/2021,USA,52690540,196349,3361093,837556,1900
12/22/2021,USA,52933897,243357,3461842,839347,1791
12/23/2021,USA,53229509,295612,3664143,840853,1506
12/24/2021,USA,53548833,319324,3901123,842049,1196
12/25/2021,USA,53819482,270649,4094818,842847,798
12/26/2021,USA,54041328,221846,4232960,843479,632
12/27/2021,USA,54296108,254780,4384728,844495,1016
12/28/2021,USA,54645394,349286,4576578,846436,1941
12/29/2021,USA,55134089,488695,4916836,848362,1926
12/30/2021,USA,55744615,610526,5397474,850105,1743
12/31/2021,USA,56372365,627750,5898982,851366,1261
1/1/2022,USA,56968054,595689,6371898,852296,930
1/2/2022,USA,57461913,493859,6751107,853124,828
1/3/2022,USA,57989713,527800,7115721,854282,1158
1/4/2022,USA,58602468,612755,7503310,856292,2010
1/5/2022,USA,59333026,730558,8068122,858271,1979
1/6/2022,USA,60161201,828175,8731175,860757,2486
1/7/2022,USA,61064610,903409,9448674,863018,2261
1/8/2022,USA,61885068,820458,10088190,864488,1470
1/9/2022,USA,62647799,762731,10689840,865723,1235
1/10/2022,USA,63364575,716776,11130203,867321,1598
1/11/2022,USA,64129543,764968,11643257,869954,2633
1/12/2022,USA,65020646,891103,12293209,872590,2636
1/13/2022,USA,65930256,909610,12982758,875261,2671
1/14/2022,USA,66820408,890152,13615194,877851,2590
1/15/2022,USA,67604551,784143,14191913,879836,1985
1/16/2022,USA,68320987,716436,14710239,881395,1559
1/17/2022,USA,68973134,652147,15097227,882976,1581
1/18/2022,USA,69609262,636128,15282642,885434,2458
1/19/2022,USA,70355386,746124,15598200,888369,2935
1/20/2022,USA,71124144,768758,16071420,891600,3231
1/21/2022,USA,71955193,831049,16587751,894664,3064
1/22/2022,USA,72630433,675240,17002568,896561,1897
1/23/2022,USA,73142251,511818,17249425,898266,1705
1/24/2022,USA,73649862,507611,17284788,900192,1926
1/25/2022,USA,74153435,503573,17339059,903515,3323
1/26/2022,USA,74707768,554333,17485517,907059,3544
1/27/2022,USA,75273362,565594,17682486,910344,3285
1/28/2022,USA,75822481,549119,17842515,913483,3139
1/29/2022,USA,76227847,405366,17919042,915730,2247
1/30/2022,USA,76531856,304009,17935434,917269,1539
1/31/2022,USA,76819014,287158,17823647,919137,1868
2/1/2022,USA,77128215,309201,17531918,922434,3297
2/2/2022,USA,77453915,325700,17238766,925831,3397
2/3/2022,USA,77759438,305523,17142222,929277,3446
2/4/2022,USA,78070061,310623,16938504,932280,3003
2/5/2022,USA,78276159,206098,16725359,934222,1942
2/6/2022,USA,78422044,145885,16486674,935724,1502
2/7/2022,USA,78581222,159178,16175606,937519,1795
2/8/2022,USA,78780693,199471,15749633,940789,3270
2/9/2022,USA,79003788,223095,15410788,943947,3158
2/10/2022,USA,79200004,196216,15086669,946963,3016
2/11/2022,USA,79367293,167289,14689073,949417,2454
2/12/2022,USA,79497774,130481,14277637,951256,1839
2/13/2022,USA,79587130,89356,13939727,952643,1387
2/14/2022,USA,79674988,87858,13357698,954034,1391
2/15/2022,USA,79785376,110388,12977285,956624,2590
2/16/2022,USA,79902836,117460,12553829,959492,2868
2/17/2022,USA,80017360,114524,12132497,962153,2661
2/18/2022,USA,80136296,118936,11694480,964595,2442
2/19/2022,USA,80221998,85702,11265241,966377,1782
2/20/2022,USA,80279984,57986,10817234,967318,941
2/21/2022,USA,80335838,55854,10253895,968252,934
2/22/2022,USA,80400924,65086,9812533,970204,1952
2/23/2022,USA,80478058,77134,9372795,972619,2415
2/24/2022,USA,80562540,84482,8907330,975098,2479
2/25/2022,USA,80643160,80620,8462946,977169,2071
2/26/2022,USA,80696735,53575,8057172,978395,1226
2/27/2022,USA,80733765,37030,7677838,979288,893
2/28/2022,USA,80770933,37168,7231782,980345,1057
3/1/2022,USA,80819291,48358,6906152,982106,1761
3/2/2022,USA,80871171,51880,6565024,983841,1735
3/3/2022,USA,80925114,53943,6221286,985343,1502
3/4/2022,USA,80973280,48166,5853775,987020,1677
3/5/2022,USA,81011840,38560,5498519,987921,901
3/6/2022,USA,81036985,25145,5197745,988613,692
3/7/2022,USA,81065646,28661,4911948,989334,721
3/8/2022,USA,81100733,35087,4647194,990665,1331
3/9/2022,USA,81141596,40863,4402377,992161,1496
3/10/2022,USA,81186052,44456,4161845,993675,1514
3/11/2022,USA,81228709,42657,3926562,994976,1301
3/12/2022,USA,81256511,27802,3703113,996084,1108
3/13/2022,USA,81274572,18061,3503792,996623,539
3/14/2022,USA,81296150,21578,3303522,997179,556
3/15/2022,USA,81326836,30686,3150604,998474,1295
3/16/2022,USA,81359940,33104,3008818,999581,1107
3/17/2022,USA,81399852,39912,2839669,1000707,1126
3/18/2022,USA,81435443,35591,2696000,1001667,960
3/19/2022,USA,81460821,25378,2570493,1002359,692
3/20/2022,USA,81479356,18535,2488276,1002684,325
3/21/2022,USA,81498659,19303,2359687,1003122,438
3/22/2022,USA,81528657,29998,2256808,1004112,990
3/23/2022,USA,81562832,34175,2168503,1004955,843
3/24/2022,USA,81599373,36541,2069030,1005721,766
3/25/2022,USA,81635459,36086,1917401,1006548,827
3/26/2022,USA,81665173,29714,1843064,1007057,509
3/27/2022,USA,81682464,17291,1775027,1007366,309
3/28/2022,USA,81702100,19636,1660228,1007755,389
3/29/2022,USA,81730980,28880,1595763,1008660,905
3/30/2022,USA,81763467,32487,1529361,1009451,791
3/31/2022,USA,81799905,36438,1478436,1010090,639
4/1/2022,USA,81833729,33824,1438038,1010722,632
4/2/2022,USA,81861359,27630,1407461,1011163,441
4/3/2022,USA,81882004,20645,1352159,1011486,323
4/4/2022,USA,81905459,23455,1306878,1011901,415
4/5/2022,USA,81935881,30422,1276001,1012633,732
4/6/2022,USA,81971909,36028,1253798,1013306,673
4/7/2022,USA,82012907,40998,1233753,1013912,606
4/8/2022,USA,82054372,41465,1222498,1014569,657
4/9/2022,USA,82086798,32426,1212447,1014948,379
4/10/2022,USA,82114677,27879,1177130,1015141,193
4/11/2022,USA,82144583,29906,1159598,1015431,290
4/12/2022,USA,82181447,36864,1140968,1016080,649
4/13/2022,USA,82224940,43493,1145276,1016582,502
4/14/2022,USA,82274615,49675,1154846,1017007,425
4/15/2022,USA,82325472,50857,1168525,1017481,474
4/16/2022,USA,82365584,40112,1169911,1017725,244
4/17/2022,USA,82395573,29989,1163010,1017876,151
4/18/2022,USA,82431400,35827,1154506,1018117,241
4/19/2022,USA,82474284,42884,1160842,1018584,467
4/20/2022,USA,82532324,58040,1180279,1019118,534
4/21/2022,USA,82592865,60541,1205439,1019580,462
4/22/2022,USA,82657726,64861,1233244,1020008,428
4/23/2022,USA,82709430,51704,1251222,1020261,253
4/24/2022,USA,82752099,42669,1262511,1020443,182
4/25/2022,USA,82800355,48256,1267260,1020719,276
4/26/2022,USA,82855338,54983,1280012,1021131,412
4/27/2022,USA,82922206,66868,1306853,1021568,437
4/28/2022,USA,82996699,74493,1350746,1022017,449
4/29/2022,USA,83072891,76192,1392180,1022417,400
4/30/2022,USA,83135714,62823,1423440,1022713,296
5/1/2022,USA,83185457,49743,1437525,1022901,188
5/2/2022,USA,83241846,56389,1454450,1023172,271
5/3/2022,USA,83309302,67456,1482487,1023622,450
5/4/2022,USA,83392288,82986,1526438,1024016,394
5/5/2022,USA,83484629,92341,1588146,1024396,380
5/6/2022,USA,83582229,97600,1645361,1024777,381
5/7/2022,USA,83666423,84194,1706632,1025003,226
5/8/2022,USA,83732189,65766,1754045,1025126,123
5/9/2022,USA,83810141,77952,1756654,1025309,183
5/10/2022,USA,83895556,85415,1802388,1025701,392
5/11/2022,USA,83994864,99308,1853628,1026020,319
5/12/2022,USA,84093964,99100,1903966,1026309,289
5/13/2022,USA,84182733,88769,1949109,1026591,282
5/14/2022,USA,84209473,26740,1938567,1026646,55
