month,num years,total cases in month,average cases
1,2,26797451,13398726
2,3,6390603,2130201
3,3,3082115,1027372
4,3,4200354,1400118
5,3,2776146,925382
6,2,1323691,661846
7,2,3468605,1734303
8,2,5916283,2958142
9,2,5452595,2726298
10,2,4555070,2277535
11,2,7124941,3562471
12,2,13121604,6560802
